course, entity, link
Data Scientist with R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/b95fa8556c521b7aef3e27a695e162eb588622f1
Statistician with R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/f5c18fded8efd5ce7dc57f91d14cde3166f6439b
R Programmer Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/09b64b5b5242159381d75837ed90198454e9fc58
Data Analyst with R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/3041f1bfc05674c2e957c479fddbb8f55573db45
R Programming, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/327633aae130fc18fd36a34a476d535cefcf930d
Importing & Cleaning Data with R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/525fabe528901a0bbb048608d5c84e9c553e1805
Machine Learning Fundamentals in R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/57ecb920dd927f26cbf2d25caa0f689f131653b3
Statistical Fundamentals with R Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/4a64acc738cc6dcf6e19e5e7f9955c7a6de410a0
Statistical Fundamentals with R Track (Old Track), DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/67629e7267c73b14e0dbd964a4b9d35f0957bdf0
Python Programming Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/d7e95156f4dd81d658d48dfbbc1b8792d7164d7d
SQL Fundamentals Track, DataCamp,https://www.datacamp.com/statement-of-accomplishment/track/c5ee6f9f354942e37ae6d84115227d6b98ba5f78
SAS Programming 1: Essentials, SAS, https://github.com/jmbarbone/barbone-cv/blob/master/docs/EPG194_Certificate of Completion.pdf
